timestamp,type,key,latency_ms,version,stale_read,db_type,write_pct
2026-04-03T20:56:10.857791-07:00,read,key-4,0.802,3,false,leaderless,10
2026-04-03T20:56:10.858506-07:00,read,key-5,0.565,4,false,leaderless,10
2026-04-03T20:56:10.858474-07:00,read,key-4,0.603,3,false,leaderless,10
2026-04-03T20:56:10.858579-07:00,read,key-3,0.503,2,false,leaderless,10
2026-04-03T20:56:10.858595-07:00,read,key-0,0.773,2,false,leaderless,10
2026-04-03T20:56:10.85937-07:00,read,key-1,0.466,1,false,leaderless,10
2026-04-03T20:56:10.859083-07:00,read,key-2,0.780,3,false,leaderless,10
2026-04-03T20:56:10.859075-07:00,read,key-6,1.494,0,false,leaderless,10
2026-04-03T20:56:10.858025-07:00,read,key-8,2.566,2,false,leaderless,10
2026-04-03T20:56:10.856882-07:00,read,key-5,3.767,7,false,leaderless,10
2026-04-03T20:56:10.859837-07:00,read,key-0,0.844,2,false,leaderless,10
2026-04-03T20:56:10.857607-07:00,read,key-0,3.076,3,false,leaderless,10
2026-04-03T20:56:10.856805-07:00,read,key-2,3.879,5,false,leaderless,10
2026-04-03T20:56:10.857505-07:00,read,key-4,3.195,3,false,leaderless,10
2026-04-03T20:56:10.859078-07:00,read,key-9,1.668,2,false,leaderless,10
2026-04-03T20:56:10.859864-07:00,read,key-2,0.989,3,false,leaderless,10
2026-04-03T20:56:10.860592-07:00,read,key-1,0.623,1,false,leaderless,10
2026-04-03T20:56:10.860571-07:00,read,key-8,0.731,2,false,leaderless,10
2026-04-03T20:56:10.860854-07:00,read,key-9,0.464,2,false,leaderless,10
2026-04-03T20:56:10.860686-07:00,read,key-6,0.638,0,false,leaderless,10
2026-04-03T20:56:10.860747-07:00,read,key-2,0.580,3,false,leaderless,10
2026-04-03T20:56:10.861303-07:00,read,key-1,0.776,1,false,leaderless,10
2026-04-03T20:56:10.861327-07:00,read,key-5,0.764,4,false,leaderless,10
2026-04-03T20:56:10.86065-07:00,read,key-9,1.449,2,false,leaderless,10
2026-04-03T20:56:10.861325-07:00,read,key-6,0.805,0,false,leaderless,10
2026-04-03T20:56:10.86132-07:00,read,key-6,0.810,0,false,leaderless,10
2026-04-03T20:56:10.862131-07:00,read,key-1,0.533,1,false,leaderless,10
2026-04-03T20:56:10.862093-07:00,read,key-5,0.599,4,false,leaderless,10
2026-04-03T20:56:10.8621-07:00,read,key-9,0.655,2,false,leaderless,10
2026-04-03T20:56:10.862693-07:00,read,key-3,0.500,2,false,leaderless,10
2026-04-03T20:56:10.862755-07:00,read,key-6,0.483,0,false,leaderless,10
2026-04-03T20:56:10.86324-07:00,read,key-6,0.553,0,false,leaderless,10
2026-04-03T20:56:10.860702-07:00,read,key-8,3.229,2,false,leaderless,10
2026-04-03T20:56:10.862132-07:00,read,key-5,1.803,8,false,leaderless,10
2026-04-03T20:56:10.863194-07:00,read,key-4,0.745,3,false,leaderless,10
2026-04-03T20:56:10.863794-07:00,read,key-1,0.513,1,false,leaderless,10
2026-04-03T20:56:10.863936-07:00,read,key-8,0.861,2,false,leaderless,10
2026-04-03T20:56:10.862665-07:00,read,key-8,2.843,2,false,leaderless,10
2026-04-03T20:56:10.863932-07:00,read,key-2,1.577,3,false,leaderless,10
2026-04-03T20:56:10.86551-07:00,read,key-3,0.313,2,false,leaderless,10
2026-04-03T20:56:10.865509-07:00,read,key-6,0.331,0,false,leaderless,10
2026-04-03T20:56:10.865825-07:00,read,key-9,1.489,5,false,leaderless,10
2026-04-03T20:56:10.867314-07:00,read,key-2,0.253,3,false,leaderless,10
2026-04-03T20:56:10.867568-07:00,read,key-5,0.284,4,false,leaderless,10
