timestamp,type,key,latency_ms,version,stale_read,db_type,write_pct
2026-04-03T20:57:06.844637-07:00,read,key-0,21.103,120,false,leaderless,90
2026-04-03T20:57:06.844561-07:00,read,key-3,21.247,110,false,leaderless,90
2026-04-03T20:57:06.844347-07:00,write,key-7,829.523,132,false,leaderless,90
2026-04-03T20:57:06.84471-07:00,write,key-6,829.295,121,false,leaderless,90
2026-04-03T20:57:06.844759-07:00,write,key-2,829.264,127,false,leaderless,90
2026-04-03T20:57:06.844384-07:00,write,key-1,829.709,135,false,leaderless,90
2026-04-03T20:57:06.844717-07:00,write,key-5,829.392,147,false,leaderless,90
2026-04-03T20:57:06.865746-07:00,write,key-5,808.396,148,false,leaderless,90
2026-04-03T20:57:06.8448-07:00,write,key-0,829.345,121,false,leaderless,90
2026-04-03T20:57:06.84469-07:00,write,key-6,829.494,120,false,leaderless,90
2026-04-03T20:57:06.844599-07:00,write,key-1,829.650,136,false,leaderless,90
2026-04-03T20:57:06.844435-07:00,write,key-3,829.833,110,false,leaderless,90
2026-04-03T20:57:06.844633-07:00,write,key-2,829.673,128,false,leaderless,90
2026-04-03T20:57:06.844387-07:00,write,key-1,829.923,138,false,leaderless,90
2026-04-03T20:57:06.84453-07:00,write,key-3,829.786,108,false,leaderless,90
2026-04-03T20:57:06.844776-07:00,write,key-1,829.567,137,false,leaderless,90
2026-04-03T20:57:06.844947-07:00,write,key-4,829.404,136,false,leaderless,90
2026-04-03T20:57:06.844595-07:00,write,key-9,829.761,125,false,leaderless,90
2026-04-03T20:57:06.844559-07:00,write,key-3,829.825,107,false,leaderless,90
2026-04-03T20:57:06.844661-07:00,write,key-7,829.701,133,false,leaderless,90
2026-04-03T20:57:06.844732-07:00,write,key-3,829.633,109,false,leaderless,90
2026-04-03T20:57:06.865811-07:00,write,key-3,811.864,111,false,leaderless,90
2026-04-03T20:57:07.674152-07:00,read,key-0,5.842,121,false,leaderless,90
2026-04-03T20:57:07.673918-07:00,read,key-9,6.336,125,false,leaderless,90
2026-04-03T20:57:07.680259-07:00,read,key-8,3.025,112,false,leaderless,90
2026-04-03T20:57:07.674027-07:00,write,key-8,814.537,112,false,leaderless,90
2026-04-03T20:57:07.674392-07:00,write,key-7,814.400,134,false,leaderless,90
2026-04-03T20:57:07.674247-07:00,write,key-0,814.749,123,false,leaderless,90
2026-04-03T20:57:07.674005-07:00,write,key-9,815.012,126,false,leaderless,90
2026-04-03T20:57:07.674403-07:00,write,key-5,814.698,149,false,leaderless,90
2026-04-03T20:57:07.679999-07:00,write,key-5,809.181,150,false,leaderless,90
2026-04-03T20:57:07.67414-07:00,write,key-1,815.049,139,false,leaderless,90
2026-04-03T20:57:07.674383-07:00,write,key-3,814.891,112,false,leaderless,90
2026-04-03T20:57:07.67431-07:00,write,key-9,814.965,128,false,leaderless,90
2026-04-03T20:57:07.674184-07:00,write,key-9,815.226,127,false,leaderless,90
2026-04-03T20:57:07.677674-07:00,write,key-0,811.738,124,false,leaderless,90
2026-04-03T20:57:07.674374-07:00,write,key-2,816.584,132,false,leaderless,90
2026-04-03T20:57:07.674267-07:00,write,key-8,816.693,111,false,leaderless,90
2026-04-03T20:57:07.674315-07:00,write,key-4,816.741,137,false,leaderless,90
2026-04-03T20:57:07.67435-07:00,write,key-2,816.712,131,false,leaderless,90
2026-04-03T20:57:07.674093-07:00,write,key-2,817.069,129,false,leaderless,90
2026-04-03T20:57:07.674304-07:00,write,key-2,816.881,130,false,leaderless,90
2026-04-03T20:57:07.674109-07:00,write,key-0,817.137,122,false,leaderless,90
2026-04-03T20:57:07.674342-07:00,write,key-6,816.920,122,false,leaderless,90
2026-04-03T20:57:07.683287-07:00,write,key-4,808.050,138,false,leaderless,90
2026-04-03T20:57:08.488996-07:00,read,key-5,4.002,150,false,leaderless,90
2026-04-03T20:57:08.490958-07:00,write,key-1,816.005,143,false,leaderless,90
2026-04-03T20:57:08.491337-07:00,write,key-6,815.805,123,false,leaderless,90
2026-04-03T20:57:08.493004-07:00,write,key-6,814.236,124,false,leaderless,90
2026-04-03T20:57:08.489189-07:00,write,key-9,818.156,129,false,leaderless,90
2026-04-03T20:57:08.488792-07:00,write,key-0,818.572,125,false,leaderless,90
2026-04-03T20:57:08.489273-07:00,write,key-1,818.163,141,false,leaderless,90
2026-04-03T20:57:08.491246-07:00,write,key-0,816.233,126,false,leaderless,90
2026-04-03T20:57:08.491185-07:00,write,key-0,817.170,127,false,leaderless,90
2026-04-03T20:57:08.489018-07:00,write,key-1,819.412,140,false,leaderless,90
2026-04-03T20:57:08.491081-07:00,write,key-5,817.407,151,false,leaderless,90
2026-04-03T20:57:08.4891-07:00,write,key-4,819.455,140,false,leaderless,90
2026-04-03T20:57:08.489179-07:00,write,key-4,819.432,139,false,leaderless,90
2026-04-03T20:57:08.491261-07:00,write,key-2,817.424,134,false,leaderless,90
2026-04-03T20:57:08.489274-07:00,write,key-2,819.464,133,false,leaderless,90
2026-04-03T20:57:08.491056-07:00,write,key-7,817.736,135,false,leaderless,90
2026-04-03T20:57:08.489412-07:00,write,key-1,819.397,142,false,leaderless,90
2026-04-03T20:57:08.489409-07:00,write,key-3,819.444,113,false,leaderless,90
2026-04-03T20:57:08.49096-07:00,write,key-1,817.900,144,false,leaderless,90
2026-04-03T20:57:08.491161-07:00,write,key-3,817.733,114,false,leaderless,90
2026-04-03T20:57:08.488575-07:00,write,key-9,820.337,130,false,leaderless,90
2026-04-03T20:57:09.307436-07:00,read,key-0,2.995,127,false,leaderless,90
2026-04-03T20:57:09.307345-07:00,read,key-4,3.096,140,false,leaderless,90
2026-04-03T20:57:09.307478-07:00,read,key-3,3.495,114,false,leaderless,90
2026-04-03T20:57:09.308684-07:00,write,key-2,819.106,135,false,leaderless,90
2026-04-03T20:57:09.308488-07:00,write,key-9,819.527,133,false,leaderless,90
2026-04-03T20:57:09.306971-07:00,write,key-9,821.147,131,false,leaderless,90
2026-04-03T20:57:09.307141-07:00,write,key-3,821.157,115,false,leaderless,90
2026-04-03T20:57:09.30886-07:00,write,key-5,819.539,154,false,leaderless,90
2026-04-03T20:57:09.308355-07:00,write,key-4,820.130,143,false,leaderless,90
2026-04-03T20:57:09.308611-07:00,write,key-7,819.976,136,false,leaderless,90
2026-04-03T20:57:09.307364-07:00,write,key-9,821.310,132,false,leaderless,90
2026-04-03T20:57:09.308792-07:00,write,key-4,819.997,142,false,leaderless,90
2026-04-03T20:57:09.308853-07:00,write,key-0,820.007,128,false,leaderless,90
2026-04-03T20:57:09.310446-07:00,write,key-7,818.548,137,false,leaderless,90
2026-04-03T20:57:09.308554-07:00,write,key-3,820.620,116,false,leaderless,90
2026-04-03T20:57:09.308911-07:00,write,key-5,820.339,153,false,leaderless,90
2026-04-03T20:57:09.308738-07:00,write,key-4,820.585,141,false,leaderless,90
2026-04-03T20:57:09.308809-07:00,write,key-1,820.605,145,false,leaderless,90
